Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Amenities;Square Feet;Price;Cleaning Fee;Availability 90;Review Scores Rating
Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Iron,Laptop friendly workspace;;45.0;10.0;40;78.0
Chamberí;Apartment;Private room;1;2.0;1.0;1.0;TV,Wireless Internet,Air conditioning,Heating,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;75.0;;18;
Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;68.0;;24;93.0
Salamanca;Loft;Entire home/apt;4;2.0;2.0;3.0;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron;;145.0;60.0;44;100.0
Centro;Condominium;Entire home/apt;2;1.0;0.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Shampoo;;35.0;;24;88.0
Moncloa - Aravaca;Bed & Breakfast;Private room;3;1.0;1.0;1.0;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Doorman,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;15.0;;0;100.0
Centro;Bed & Breakfast;Private room;2;2.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;35.0;;40;87.0
Salamanca;Apartment;Private room;2;2.0;1.0;1.0;Wireless Internet,Air conditioning,Breakfast,Elevator in building,Heating,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;35.0;;32;100.0
Centro;Apartment;Entire home/apt;8;2.0;3.0;4.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Hair dryer;;130.0;30.0;26;91.0
Centro;House;Private room;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Smoking allowed,Elevator in building,Heating,Family/kid friendly,Essentials,Shampoo;;40.0;;86;80.0
Usera;Apartment;Private room;2;1.0;1.0;1.0;Wireless Internet,Pool,Kitchen,Elevator in building,Heating,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;19.0;;52;93.0
Centro;Condominium;Entire home/apt;2;1.0;1.0;1.0;TV,Cable TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;51.0;15.0;2;90.0
Centro;Apartment;Private room;2;1.0;1.0;1.0;Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,Private living room;;25.0;10.0;36;100.0
Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;80.0;30.0;0;100.0
Centro;Apartment;Private room;1;1.0;1.0;1.0;Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;29.0;8.0;67;91.0
Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;0.0;65.0;;52;96.0
Centro;Bed & Breakfast;Private room;2;1.5;1.0;1.0;Wireless Internet,Kitchen,Smoking allowed,Breakfast,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Laptop friendly workspace;;20.0;;0;80.0
Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron;;130.0;20.0;5;92.0
Centro;Apartment;Private room;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Cat(s),Elevator in building,Buzzer/wireless intercom,Washer,Essentials;;100.0;;0;
Hortaleza;Apartment;Entire home/apt;4;2.0;2.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Doorman,Gym,Elevator in building,Buzzer/wireless intercom,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;120.0;;10;100.0
